,0
533,0
534,0
535,0
536,1
537,0
538,0
539,0
540,1
541,0
542,1
543,1
544,0
545,0
546,1
547,1
548,0
549,0
550,1
551,0
552,0
553,0
554,1
555,0
556,1
557,1
558,0
559,0
560,1
561,1
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,1
574,1
575,1
576,1
577,1
578,0
579,0
580,1
581,0
582,0
583,1
584,1
585,0
586,1
587,0
588,0
589,1
590,0
591,1
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,1
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,1
623,0
624,1
625,1
626,1
627,0
628,0
629,0
630,0
631,1
632,1
633,0
634,0
635,0
636,1
637,1
638,0
639,0
640,0
641,0
642,1
643,1
644,1
645,1
646,0
647,1
648,1
649,1
650,1
651,0
652,0
653,0
654,1
655,1
656,1
657,0
658,0
659,0
660,0
661,0
662,1
663,0
664,0
665,0
666,1
667,0
668,0
669,0
670,0
671,1
672,0
673,0
674,1
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,1
694,1
695,0
696,0
697,1
698,0
699,1
700,0
701,1
702,0
703,1
704,0
705,0
706,1
707,0
708,1
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,1
724,0
725,1
726,0
727,0
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,0
739,0
740,1
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,1
750,0
751,1
752,1
753,0
754,0
755,0
756,0
757,1
758,0
759,0
760,0
761,1
762,1
763,0
764,0
765,1
766,1
767,0
768,0
769,1
770,0
771,1
772,0
773,0
774,0
775,1
776,1
777,0
778,0
779,0
780,0
781,1
782,1
783,1
784,0
785,0
786,1
787,0
788,1
789,1
790,1
791,1
792,1
793,0
794,0
795,0
796,0
797,1
798,1
799,1
800,0
801,0
802,0
803,0
804,0
805,1
806,0
807,0
808,1
809,0
810,1
811,1
812,0
813,1
814,0
815,0
816,0
817,1
818,1
819,0
820,0
821,1
822,0
823,1
824,1
825,0
826,1
827,1
828,1
829,1
830,0
831,0
832,0
833,0
834,0
835,1
836,1
837,1
838,1
839,0
840,0
841,0
842,1
843,1
844,0
845,1
846,1
847,1
848,1
849,1
850,1
851,0
852,0
853,1
854,0
855,1
856,0
857,0
858,0
859,1
860,0
861,1
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,1
870,0
871,1
872,0
873,0
874,0
875,0
876,1
877,1
878,0
879,0
880,0
881,1
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,1
890,1
891,1
892,1
893,0
894,1
895,1
896,1
897,0
898,0
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,0
907,1
908,0
909,1
910,1
911,1
912,0
913,1
914,1
915,1
916,1
917,0
918,1
919,1
920,0
921,1
922,0
923,1
924,0
925,1
926,1
927,0
928,1
929,0
930,1
931,0
932,1
933,1
934,1
935,0
936,0
937,1
938,0
939,1
940,1
941,0
942,0
943,1
944,1
945,1
946,0
947,1
948,0
949,1
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,0
958,0
959,0
960,1
961,0
962,0
963,1
964,0
965,1
966,1
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,1
982,0
983,1
984,1
985,1
986,0
987,0
988,0
989,1
990,1
991,0
992,1
993,1
994,1
995,0
996,1
997,1
998,0
999,0
1000,1
1001,1
1002,1
1003,1
1004,0
1005,1
1006,1
1007,0
1008,1
1009,0
1010,1
1011,1
1012,0
1013,1
1014,1
1015,0
1016,1
1017,0
1018,1
1019,1
1020,0
1021,1
1022,0
1023,0
1024,1
1025,1
1026,0
1027,0
1028,1
1029,0
1030,1
1031,1
1032,0
1033,1
1034,1
1035,0
1036,0
1037,1
1038,1
1039,1
1040,1
1041,1
1042,0
1043,0
1044,0
1045,1
1046,0
1047,0
1048,1
1049,0
1050,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,0
1057,1
1058,1
1059,0
1060,1
1061,0
1062,1
1063,1
1064,0
1065,0
1066,0
1067,0
1068,1
1069,1
1070,1
1071,1
1072,1
1073,1
1074,1
1075,0
1076,1
1077,1
1078,0
1079,1
1080,0
1081,1
1082,0
1083,1
1084,1
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,1
1096,1
1097,1
1098,1
1099,0
1100,1
1101,1
1102,1
1103,1
1104,0
1105,0
1106,1
1107,1
1108,0
1109,0
1110,1
1111,0
1112,0
1113,0
1114,1
1115,0
1116,0
1117,1
1118,1
1119,1
1120,0
1121,0
1122,1
1123,1
1124,1
1125,1
1126,1
1127,0
1128,1
1129,1
1130,0
1131,0
1132,1
1133,0
1134,0
1135,0
1136,1
1137,0
1138,0
1139,0
